Luni    ,08-10,sapt. 2,L339   ,231/2,Laborator,Programare pentru dispozitive mobile               ,LAZAR Ioan
Luni    ,12-14,       ,6/II   ,I3   ,Curs     ,Limbaje formale si tehnici de compilare            ,LUPSA Dana
Luni    ,14-16,       ,6/II   ,I3   ,Curs     ,Programare paralela si distribuita                 ,NICULESCU Virginia
Luni    ,16-18,sapt. 1,Goanga ,231  ,Seminar  ,Programare paralela si distribuita                 ,NICULESCU Virginia
Marti   ,08-10,       ,C335   ,I3   ,Curs     ,Metode inteligente de rezolvare a problemelor reale,DIOSAN Laura
Marti   ,10-12,sapt. 2,L338   ,231  ,Laborator,Automatizarea proceselor de business               ,CHISALITA-CRETU Camelia
Marti   ,10-12,sapt. 1,L402   ,231  ,Laborator,Metode inteligente de rezolvare a problemelor reale,DIOSAN Laura
Marti   ,12-14,       ,C335   ,I3   ,Curs     ,Automatizarea proceselor de business               ,CHISALITA-CRETU Camelia
Marti   ,14-16,       ,L439   ,231/1,Laborator,Programare paralela si distribuita                 ,MURSA Bogdan
Marti   ,16-18,       ,L002   ,I3   ,Seminar  ,Aplicatii ale geometriei in informatica            ,BLAGA Paul
Marti   ,16-18,       ,L439   ,231/2,Laborator,Programare paralela si distribuita                 ,MURSA Bogdan
Miercuri,14-16,       ,L001   ,231  ,Seminar  ,Limbaje formale si tehnici de compilare            ,POP Andreea
Miercuri,16-18,       ,7/I    ,I3   ,Curs     ,Aplicatii ale geometriei in informatica            ,BLAGA Paul
Joi     ,08-10,       ,C310   ,I3   ,Curs     ,Realitate virtuala                                 ,BOIAN Rares
Joi     ,08-10,       ,C335   ,I3   ,Curs     ,Interactiunea om-calculator                        ,GURAN Adriana
Joi     ,08-10,       ,C510   ,I3   ,Curs     ,Prelucrarea imaginilor                             ,PREJMEREAN Vasile
Joi     ,08-10,       ,L306   ,231/1,Laborator,Limbaje formale si tehnici de compilare            ,CIOBAN Vasile
Joi     ,08-10,       ,L534   ,I3   ,Curs     ,Aspecte pragmatice in programare                   ,LUPSA Radu
Joi     ,10-11,       ,A303   ,I3   ,Curs     ,Instruire asistata de calculator                   ,MAGDAS Ioana
Joi     ,10-12,       ,C335   ,I3   ,Curs     ,Securitate software                                ,SUCIU Mihai
Joi     ,10-12,       ,L343   ,231/2,Laborator,Limbaje formale si tehnici de compilare            ,CIOBAN Vasile
Joi     ,10-12,sapt. 2,L439   ,I3   ,Laborator,Aspecte pragmatice in programare                   ,LUPSA Radu
Joi     ,10-12,sapt. 1,L439   ,I3   ,Laborator,Prelucrarea imaginilor                             ,PREJMEREAN Vasile
Joi     ,11-12,       ,A303   ,I3   ,Seminar  ,Instruire asistata de calculator                   ,MAGDAS Ioana
Joi     ,12-14,       ,L338   ,231  ,Laborator,Securitate software                                ,LUNGANA-Niculescu Alexandru
Joi     ,12-14,sapt. 1,L439   ,231  ,Laborator,Interactiunea om-calculator                        ,GURAN Adriana
Joi     ,14-16,       ,C310   ,I3   ,Curs     ,Procesarea datelor audio-video                     ,STERCA Adrian
Joi     ,14-16,       ,C335   ,I3   ,Curs     ,Grafica pe calculator                              ,PREJMEREAN Vasile
Joi     ,16-18,sapt. 2,L301   ,231  ,Laborator,Procesarea datelor audio-video                     ,STERCA Adrian
Joi     ,16-18,sapt. 1,L320   ,I3   ,Laborator,Realitate virtuala                                 ,BOIAN Rares
Joi     ,16-18,sapt. 1,L439   ,231  ,Laborator,Grafica pe calculator                              ,PREJMEREAN Vasile
Vineri  ,08-10,sapt. 2,L302   ,231/1,Laborator,Programare pentru dispozitive mobile               ,LAZAR Ioan
Vineri  ,18-20,       ,2/I    ,I3   ,Curs     ,Programare pentru dispozitive mobile               ,LAZAR Ioan
Luni    ,16-18,sapt. 2,Goanga ,232  ,Seminar  ,Programare paralela si distribuita                 ,NICULESCU Virginia
Marti   ,10-12,sapt. 2,L402   ,232  ,Laborator,Metode inteligente de rezolvare a problemelor reale,DIOSAN Laura
Marti   ,14-16,sapt. 2,L338   ,232  ,Laborator,Automatizarea proceselor de business               ,CHISALITA-CRETU Camelia
Marti   ,16-18,       ,L343   ,232/2,Laborator,Programare paralela si distribuita                 ,Sima Ioan
Miercuri,10-12,sapt. 1,L321   ,232/1,Laborator,Programare pentru dispozitive mobile               ,BOTA Daniel
Miercuri,10-12,sapt. 2,L321   ,232/2,Laborator,Programare pentru dispozitive mobile               ,BOTA Daniel
Miercuri,12-14,       ,L339   ,232/1,Laborator,Limbaje formale si tehnici de compilare            ,MURESAN Horea
Miercuri,14-16,       ,L302   ,232/2,Laborator,Limbaje formale si tehnici de compilare            ,MURESAN Horea
Joi     ,10-12,sapt. 2,L338   ,232  ,Laborator,Interactiunea om-calculator                        ,GURAN Adriana
Joi     ,12-14,sapt. 1,L306   ,232  ,Laborator,Procesarea datelor audio-video                     ,STERCA Adrian
Joi     ,16-18,       ,L338   ,232  ,Laborator,Securitate software                                ,TICLE Daniel
Joi     ,18-20,sapt. 1,L336   ,232  ,Laborator,Grafica pe calculator                              ,PREJMEREAN Vasile
Vineri  ,08-10,       ,A311   ,232  ,Seminar  ,Limbaje formale si tehnici de compilare            ,POP Andreea
Vineri  ,12-14,       ,L306   ,232/1,Laborator,Programare paralela si distribuita                 ,MURSA Bogdan
Marti   ,10-12,sapt. 2,L338   ,233  ,Laborator,Automatizarea proceselor de business               ,CHISALITA-CRETU Camelia
Marti   ,10-12,sapt. 1,L402   ,233  ,Laborator,Metode inteligente de rezolvare a problemelor reale,DIOSAN Laura
Miercuri,12-14,       ,C510   ,233  ,Seminar  ,Limbaje formale si tehnici de compilare            ,POP Andreea
Miercuri,14-16,sapt. 1,C512   ,233  ,Seminar  ,Programare paralela si distribuita                 ,NICULESCU Virginia
Miercuri,16-18,       ,L302   ,233/1,Laborator,Programare paralela si distribuita                 ,Sima Ioan
Miercuri,18-20,       ,L321   ,233/2,Laborator,Programare paralela si distribuita                 ,Sima Ioan
Joi     ,12-14,sapt. 2,L439   ,233  ,Laborator,Interactiunea om-calculator                        ,GURAN Adriana
Joi     ,16-18,sapt. 2,L301   ,233  ,Laborator,Procesarea datelor audio-video                     ,STERCA Adrian
Joi     ,16-18,sapt. 2,L336   ,233  ,Laborator,Grafica pe calculator                              ,PREJMEREAN Vasile
Joi     ,18-20,       ,L338   ,233  ,Laborator,Securitate software                                ,TICLE Daniel
Vineri  ,08-10,sapt. 1,L001   ,233/1,Laborator,Programare pentru dispozitive mobile               ,BOTA Daniel
Vineri  ,08-10,sapt. 2,L001   ,233/2,Laborator,Programare pentru dispozitive mobile               ,BOTA Daniel
Vineri  ,12-14,       ,L002   ,233/1,Laborator,Limbaje formale si tehnici de compilare            ,ENESCU Alina
Vineri  ,12-14,       ,L339   ,233/2,Laborator,Limbaje formale si tehnici de compilare            ,CIOBAN Vasile
Marti   ,10-12,sapt. 2,L402   ,234  ,Laborator,Metode inteligente de rezolvare a problemelor reale,DIOSAN Laura
Marti   ,14-16,sapt. 2,L338   ,234  ,Laborator,Automatizarea proceselor de business               ,CHISALITA-CRETU Camelia
Marti   ,16-18,       ,L321   ,234/2,Laborator,Limbaje formale si tehnici de compilare            ,POP Andreea
Marti   ,18-20,       ,L001   ,234/2,Laborator,Programare paralela si distribuita                 ,Sima Ioan
Miercuri,08-10,       ,L002   ,234/1,Laborator,Programare paralela si distribuita                 ,Sima Ioan
Miercuri,14-16,sapt. 2,C512   ,234  ,Seminar  ,Programare paralela si distribuita                 ,NICULESCU Virginia
Miercuri,16-18,       ,L336   ,234/1,Laborator,Limbaje formale si tehnici de compilare            ,POP Andreea
